hub,degree_centrality,betweenness,pagerank,clustering
IND683511AAA,0.01282051282051282,0.01954855975965468,0.0030245382062643877,0.029411764705882353
IND000000AFT,0.006072874493927126,0.002479905159460225,0.001232422110232723,0.06666666666666667
IND400072AAB,0.01147098515519568,0.0037217256565847366,0.0022237775427060217,0.10606060606060606
IND410206AAA,0.0020242914979757085,0.00040868545435161156,0.0005306576479880827,0.0
IND410209AAA,0.0006747638326585695,0.0,0.00031253018384380345,0.0
IND410210AAA,0.0006747638326585695,0.0,0.00036257316987957475,0.0
IND110014AAA,0.001349527665317139,0.0,0.002372077980836725,0.0
IND110020AAB,0.001349527665317139,0.0,0.0005104462098450523,0.0
IND110037AAM,0.02834008097165992,0.03161951816812846,0.006123653256472657,0.07142857142857142
IND110035AAC,0.001349527665317139,0.0,0.0004108318227071823,0.0
IND201301AAD,0.001349527665317139,0.0,0.0004572887015075784,0.0
IND202001AAB,0.004048582995951417,0.0023976343497293063,0.0007081388974756197,0.3
IND226004AAC,0.0006747638326585695,0.0,0.00032978940475873866,0.0
IND250002AAC,0.0006747638326585695,0.0,0.0007525684134273885,0.0
IND282001AAA,0.002699055330634278,0.0,0.0007761695443574256,1.0
IND282001AAC,0.001349527665317139,0.0,0.0003439491137052385,1.0
IND781018AAB,0.019568151147098516,0.029936684224536717,0.005095740001232164,0.01904761904761905
IND811399AAA,0.0020242914979757085,0.000418708954904271,0.00034286144578113696,0.6666666666666666
IND110039AAA,0.001349527665317139,0.0,0.00025523170857755055,0.0
IND110078AAA,0.001349527665317139,0.0,0.00032308104327999647,0.0
IND110044AAB,0.005398110661268556,0.0006213051630443862,0.00039175044063701576,0.35714285714285715
IND110083AAA,0.0006747638326585695,0.0,0.00037047509040858046,0.0
IND110087AAA,0.0006747638326585695,0.0,0.0002805974322119094,0.0
IND121001AAA,0.001349527665317139,0.0,0.0004410560108872577,0.0
IND121004AAA,0.001349527665317139,0.0,0.0004617174787919844,0.0
IND121004AAC,0.001349527665317139,0.0,0.0005171040733971664,0.0
IND121102AAA,0.001349527665317139,0.0,0.0004938980307443235,0.0
IND122001AAD,0.001349527665317139,0.00042007579588872456,0.000451192768257305,0.0
IND122050AAA,0.0006747638326585695,0.0,0.0005301185457475204,0.0
IND122001AAJ,0.001349527665317139,0.0012451921368371846,0.000630636082815043,0.0
IND507123AAA,0.001349527665317139,0.0012342574089615561,0.0006823970689752943,0.0
IND122002AAD,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND122503AAA,0.001349527665317139,0.00040914106801309593,0.00027101940069387207,0.0
IND122004AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND122413AAE,0.0006747638326585695,0.0,0.00027101940069387207,0.0
IND123001AAA,0.001349527665317139,0.00041005229533606495,0.0002004461088444551,0.0
IND123401AAB,0.0020242914979757085,0.0008191933633491609,0.0003168950000199237,0.0
IND123106AAB,0.0006747638326585695,0.0,0.00027365093611878975,0.0
IND124001AAB,0.001349527665317139,0.001256126864712813,0.00041777121766321205,0.0
IND126102AAA,0.001349527665317139,0.0012451921368371846,0.0005017482868866456,0.0
IND124141AAA,0.001349527665317139,0.0012233226810859272,0.00077054242938139,0.0
IND124507AAA,0.0020242914979757085,0.00041962018222724,0.0004846131295104121,0.0
IND131028AAE,0.0006747638326585695,0.0,0.0003590222324503928,0.0
IND125047AAB,0.0020242914979757085,0.00042007579588872456,0.0005352064961211729,0.0
IND335513AAA,0.004048582995951417,0.004956621023290059,0.001301635736033427,0.06666666666666667
IND335523AAB,0.0020242914979757085,6.560836725377042e-06,0.000633876145323974,0.0
IND335524AAA,0.001349527665317139,0.0,0.00046113730363791464,0.0
IND125051AAA,0.0006747638326585695,0.0,0.0006016005138326674,0.0
IND125104AAA,0.001349527665317139,0.0028412067930174475,0.0006260981798311967,0.0
IND125121AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND126116AAA,0.001349527665317139,0.0012342574089615561,0.0005731690187947325,0.0
IND126112AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND131301AAA,0.001349527665317139,0.0012233226810859277,0.0006338965572709827,0.0
IND127201AAA,0.001349527665317139,0.0012342574089615557,0.0007337738751312598,0.0
IND131021AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND131028AAA,0.0006747638326585695,0.0,0.00027101940069387207,0.0
IND132103AAA,0.0020242914979757085,0.0008378735234700265,0.0007926917155317808,1.0
IND136118AAA,0.001349527665317139,0.0012602273876661735,0.0004648717201331667,0.0
IND201204AAA,0.001349527665317139,0.0004191645685657555,0.0004920701894625613,1.0
IND244001AAA,0.001349527665317139,0.0037396769334649142,0.00043955488038241377,1.0
