source_center,destination_center,avg_actual_time,avg_osrm_time,trip_count,delay_ratio
IND147201AAA,IND148023AAA,32.76923076923077,28.615384615384617,13,1.1451612903225805
IND148028AAA,IND147001AAB,67.8,36.733333333333334,30,1.8457350272232305
IND148028AAA,IND147001AAD,62.0,35.333333333333336,6,1.7547169811320753
IND148101AAA,IND148102AAA,25.6,22.4,5,1.142857142857143
IND151001AAA,IND148101AAA,48.041666666666664,41.75,24,1.150698602794411
IND151001AAA,IND151103AAA,32.333333333333336,23.88888888888889,9,1.3534883720930233
IND151001AAA,IND151302AAA,30.535714285714285,40.5,28,0.753968253968254
IND151001AAA,IND160002AAC,152.26708074534162,90.58385093167702,161,1.6809517279210093
IND151302AAA,IND151505AAA,31.242424242424242,39.27272727272727,33,0.7955246913580247
IND151505AAA,IND151506AAA,43.8,27.0,5,1.622222222222222
IND151506AAA,IND151001AAA,83.125,52.083333333333336,48,1.5959999999999999
IND152026AAA,IND000000ACA,330.9172932330827,77.65413533834587,133,4.261425251742835
IND152026AAA,IND151001AAA,43.696969696969695,42.878787878787875,33,1.0190812720848057
IND152026AAA,IND152116AAA,46.833333333333336,32.166666666666664,6,1.4559585492227982
IND152026AAA,IND160002AAC,417.1,99.3,10,4.2004028197381675
IND160002AAC,IND000000ACA,84.7109375,43.609375,128,1.9424937298459333
IND160002AAC,IND000000ACB,264.3100558659218,125.65642458100558,716,2.1034344781593868
IND160002AAC,IND110037AAM,203.15555555555557,117.33333333333333,90,1.7314393939393942
IND160002AAC,IND131028AAB,135.44791666666666,73.80208333333333,96,1.8352858151023288
IND160002AAC,IND134203AAA,59.8,29.2,5,2.047945205479452
IND160002AAC,IND140301AAA,63.095238095238095,37.07142857142857,42,1.7019910083493899
IND160002AAC,IND140603AAA,29.262135922330096,19.58252427184466,103,1.4942984630639562
IND160002AAC,IND140901AAA,55.2,32.08571428571429,105,1.7203918076580587
IND160002AAC,IND142001AAB,125.51587301587301,70.42063492063492,126,1.7823734926180546
IND160002AAC,IND143001AAA,204.82644628099175,105.87603305785125,121,1.9345874638982126
IND160002AAC,IND144001AAB,149.2888888888889,69.53333333333333,90,2.147011824864174
IND160002AAC,IND147001AAB,53.666666666666664,28.333333333333332,6,1.8941176470588235
IND160002AAC,IND147001AAD,54.214285714285715,28.0,14,1.9362244897959184
IND160002AAC,IND147101AAA,94.55555555555556,41.44444444444444,27,2.2815013404825737
IND160002AAC,IND147105AAA,119.08333333333333,53.583333333333336,12,2.2223950233281493
IND160002AAC,IND151001AAA,155.6283185840708,93.929203539823,113,1.6568682871678915
IND160002AAC,IND160055AAA,35.17460317460318,30.158730158730158,63,1.1663157894736844
IND160002AAC,IND160102AAC,47.628865979381445,24.577319587628867,97,1.9379194630872483
IND160002AAC,IND173212AAA,155.10714285714286,64.46428571428571,56,2.406094182825485
IND160002AAC,IND174001AAA,218.77631578947367,92.46052631578948,76,2.366159100611925
IND160002AAC,IND174307AAA,172.4795918367347,124.70408163265306,98,1.383111038376565
IND160002AAC,IND176041AAA,223.92857142857142,154.0,14,1.4540816326530612
IND160002AAC,IND181152AAA,352.6,190.93333333333334,30,1.8467178770949721
IND160002AAC,IND184104AAA,298.75,158.34722222222223,72,1.8866766073151477
IND160002AAC,IND421302AAG,1401.4745762711864,595.4067796610169,59,2.353810242249993
IND160002AAC,IND562132AAA,1682.7283950617284,950.0370370370371,81,1.7712239938663858
IND160055AAA,IND160002AAC,31.907894736842106,28.513157894736842,76,1.119058606368251
IND160102AAC,IND160002AAC,43.410714285714285,24.598214285714285,112,1.7647912885662431
IND160102AAD,IND160002AAC,33.02564102564103,25.41025641025641,39,1.2996972754793141
IND160102AAD,IND160002AAD,42.916666666666664,25.083333333333332,12,1.7109634551495017
IND173025AAA,IND160002AAC,140.5,60.97727272727273,44,2.3041371598956393
IND173212AAA,IND173220AAA,88.2,27.4,5,3.2189781021897814
IND174001AAA,IND175018AAA,71.4375,26.5625,16,2.6894117647058824
IND174021AAA,IND176048AAA,56.666666666666664,26.916666666666668,12,2.1052631578947367
IND174101AAB,IND160002AAC,128.1590909090909,57.40909090909091,44,2.232383214568488
IND174103AAA,IND160002AAC,116.55555555555556,47.111111111111114,18,2.474056603773585
IND174307AAA,IND176041AAA,63.0,53.705882352941174,17,1.1730558598028478
IND175001AAA,IND175101AAA,100.67647058823529,55.8235294117647,34,1.803477344573235
IND175015AAA,IND174001AAA,715.2244897959183,97.0,49,7.373448348411529
IND175018AAA,IND175001AAA,47.25,15.375,16,3.073170731707317
IND175101AAA,IND160002AAC,279.21875,139.875,32,1.9962019660411081
IND176048AAA,IND175015AAA,150.03125,78.3125,32,1.915802075019952
IND176061AAA,IND160002AAC,252.27777777777777,131.94444444444446,18,1.9119999999999997
IND176110AAB,IND177033AAA,60.44444444444444,29.555555555555557,9,2.045112781954887
IND176201AAA,IND176303AAA,106.05555555555556,72.72222222222223,18,1.458365164247517
IND176215AAA,IND176061AAA,81.33333333333333,46.333333333333336,6,1.7553956834532372
IND176303AAA,IND176310AAA,331.0,68.3,10,4.846266471449487
IND176310AAA,IND145001AAA,408.46153846153845,112.71794871794872,39,3.623748862602366
IND177001AAA,IND176110AAB,43.857142857142854,23.571428571428573,7,1.8606060606060604
IND177033AAA,IND160002AAC,276.7042253521127,114.30281690140845,142,2.4207997042696077
IND181152AAA,IND184121AAA,38.2,28.0,10,1.3642857142857143
IND181152AAB,IND160002AAC,300.4,165.46666666666667,15,1.8154713940370668
IND181152AAB,IND181201AAB,54.23809523809524,18.80952380952381,21,2.883544303797468
IND181152AAB,IND184121AAA,42.875,27.875,8,1.5381165919282511
